id,dataset_code,database_code,name,description,refreshed_at,newest_available_date,oldest_available_date,column_names,frequency,type,premium,database_id
4643874,EMCBI,ML,Emerging Markets Corporate Bond Index OAS,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643875,EEMCBI,ML,Euro Emerging Markets Corporate Bond Index (Yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643876,IGEM,ML,IG Emerging Markets Corporate Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643878,EMHG,ML,Europe/Middle East/Africa (EMEA) Corporate Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:52 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643880,EMHGY,ML,Emerging Markets High Grade Corporate Bond Index Yield,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643881,BBY,ML,US High Yield BB Corporate Bond Index Yield,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643884,AAY,ML,US AA Bond Index Yield,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643886,ATRI,ML,US Corporate Bond A Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/16/1988,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643888,BBBTRI,ML,US Corporate BBB Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:54 UTC,1/19/2016,12/16/1988,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643890,BOAS,ML,US B-rated Bond Index OAS,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643892,AAOAS,ML,US AA-rated Bond Index OAS,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643896,CCCY,ML,US CCC-rated Bond Index Yield,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643898,BTRI,ML,US B Corporate Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643902,AAATRI,ML,US AAA Corporate Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/16/1988,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643904,HYOAS,ML,US High Yield Corporate Bond Index OAS,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643907,TRI,ML,US Corporate Bonds Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1972,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643910,USTRI,ML,US High Yield Corporate Bond Index (Yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643911,EMCTRI,ML,Emerging Markets Corporate Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1998,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643913,USEY,ML,US Corporate Bond Index Yield,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643916,BBTRI,ML,US BB Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:52 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643919,CCCTRI,ML,US CCC Bond Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643921,BBBEY,ML,US BBB Bond Index (yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643923,AEY,ML,US Corporate Bond A rated Index (yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:52 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643926,BEY,ML,US B rated Corporate Bond Index (yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643929,AATRI,ML,US AA Rated Total Return Index,Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/16/1988,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
4643933,AAAEY,ML,US AAA rated Bond Index (yield),Based on the Merrill Lynch Bond Indices as published on www.cbonds.info.  Augmented by data from other data sources.,2016-01-20 21:00:53 UTC,1/19/2016,12/31/1996,"[""DATE"", ""VALUE""]",daily,Time Series,FALSE,643
