"","LSE","MN","LSD","ED","MF"
"1",0.00450090497908304,0.000571119392223502,7.36446454337706e-06,0.00113732824267294,-5.43561979313214e-05
"2",0.00436950356244802,0.000552608438913947,-2.09328815195909e-06,0.00110812701933429,-2.22029278052163e-05
"3",0.00396778545248679,0.000466099145015527,3.67552728084883e-05,0.00108391253422214,7.49574145793385e-06
"4",0.00342896113040305,0.000413213999921264,3.68652984324996e-05,0.00114138159086884,-4.47486841926081e-05
"5",0.0031914684541415,0.000413002119989235,3.94384699477691e-05,0.00110792119790924,-1.07116101746729e-05
"6",0.00315183868847398,0.000401549036873759,4.52044987448964e-05,0.00114554085906255,3.95989286070121e-05
"7",0.00316685978979916,0.000397900061085562,5.62034126009244e-05,0.00117560684743284,0.000129369397625606
"8",0.00301274837872529,0.00040740235680367,5.34965750589621e-05,0.00113485462194375,8.27179319857846e-05
"9",0.00296249575042051,0.000393354276590031,5.66475216430489e-05,0.00121252187898185,4.1037207884766e-05
"10",0.00287860627093017,0.000364353702444325,3.48101707753369e-05,0.00105453711713096,0.000161322401258228
"11",0.00282091326249872,0.000277315219418145,5.65420507792888e-05,0.00111937406037559,0.000242157489593468
"12",0.0026771564994414,0.000248924865977254,5.0060336865628e-05,0.00116657839899083,0.000291754431827486
"13",0.0028285339089853,0.00024134937170932,5.1599838988766e-05,0.00131613717623586,0.000295086640256529
"14",0.00278267670844161,0.000239919790151546,4.65090348600827e-05,0.00133035876842407,0.000283364424178763
"15",0.0027597297266836,0.000232346756546795,4.50143700034346e-05,0.00135867667112726,0.000275156273863268
"16",0.00269163815822897,0.000249152363651207,3.61171887515022e-05,0.00133173150137554,0.000307531764248006
"17",0.00271561923454503,0.000223093187096863,3.47974490874396e-05,0.00137880589173729,0.000285312920941983
"18",0.00290773365489748,0.00024714903560083,4.23528767711759e-05,0.0014805239757418,0.000264200248636675
"19",0.00289265424158978,0.000249338253026058,3.40433447945911e-05,0.00151472028749232,0.000150322899591625
"20",0.00315871569734772,0.000248101500949673,3.67721916426176e-05,0.00156938183979512,0.000164584278178471
"21",0.00338081397837091,0.00020958966074117,3.00194797494678e-05,0.00162489505592623,0.000216764125574768
"22",0.00335665341469969,0.000189160203453043,2.55749708527394e-05,0.00168196820708021,0.000229501053096672
"23",0.00315906878690589,0.000193524065114906,-5.84160921678693e-06,0.00156832543398594,0.000275031806764976
"24",0.0033609747066663,0.00021657143812873,2.15307524604491e-06,0.00160333117491505,0.000286018555190129
"25",0.00323286996946541,0.000228957805892505,1.76778139946991e-06,0.00151088345713986,0.000252309035439223
"26",0.00333753049687821,0.000235480404405616,1.48879027869027e-05,0.00156235912109109,0.000215394936310823
"27",0.00359227598316626,0.000314946944812928,5.06781037184746e-05,0.00192322185171316,0.000155070342034915
"28",0.00355645134866179,0.000308326594788696,5.59205916173844e-05,0.00191043957519613,0.000149452631213858
"29",0.00368047496048223,0.000342030820495691,0.000104584515632548,0.00202063278020453,9.42872798691741e-05
"30",0.00369707102756542,0.000367047242438198,0.000104859390540161,0.00206693461831777,8.44860758095293e-05
"31",0.0036766172836796,0.000359651254222153,0.000107958973410268,0.00204439032703478,0.000117591683274156
"32",0.00363102462825536,0.000381306378478772,0.000101647866816529,0.00201388826664723,9.25610193010293e-05
"33",0.00347145774111759,0.000416634973498321,0.000100885693304202,0.00187675265951887,6.4531484349409e-05
"34",0.00348229031610925,0.000442090048537886,9.84561936059458e-05,0.0018628766707595,7.53912355620921e-05
"35",0.00365554390616904,0.000497022917558481,0.000122769149495073,0.00197288111902479,2.90724339448433e-05
"36",0.00362221112997718,0.000505514803122999,0.00014861045991085,0.00207118333890128,1.63362480021348e-05
"37",0.00412474015872238,0.000533679154764357,0.000166961732694658,0.00226015189008968,-7.80000313327092e-06
"38",0.00438379900838077,0.000578127536963844,0.000175758251237319,0.00238521884095723,0.000115582190460472
"39",0.00427585770127942,0.00054272814316112,0.00014969433312087,0.00207549738079296,0.000176808341263065
"40",0.0042644482181615,0.00053876253046614,0.000154056051609597,0.00208517225423455,0.000169226553070385
"41",0.00427181601362742,0.000561803519906883,0.000127053495688875,0.00206599571716037,0.000197771536110096
"42",0.00460670116418323,0.000548502798561464,0.000139781225033882,0.00214942773736084,0.000156430496053313
